Date,Total_Cumulative_Cases,New_Cases,PCR,Recovered,Deaths,Daily_Positive__age,Country,RDT,Local_Transmissions,Imported_Cases,Cum_Deaths,Cum_Recovery,CFR_,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,active_cases,hospitalized_case,condition_mild_to_moderate,condition_severe,condition_ICU,key_notes
2/13/2021 22:15,35104,59,1318,130,5,4.5,Zimbabwe,,59,0,1398,30089,,354,14cb1665-76b4-4483-8d83-5d6909003047,2/13/2021 22:18,,2/13/2021 22:18,,3617,101,56,34,3,From the hosptialized cases 8 were asymptomatic. 
2/12/2021 21:57,35045,96,2081,329,11,4.6,,,96,0,1393,29959,,352,2ccd89be-2cd9-4863-9b44-0b99ce7778d0,2/12/2021 22:05,surveyor_jr,2/12/2021 22:05,surveyor_jr,3693,108,56,43,6,"Bulawayo was awaiting results from 2 major testing centers at the time of publishing this report. From all the hospitalized patients, 3 were asymptomatic."
2/11/2021 20:58,34949,85,2237,159,18,3.8,,,85,0,1382,29630,,350,e38e9a1c-28d6-4c57-a987-707c1d5489b5,2/11/2021 21:03,surveyor_jr,2/11/2021 21:03,surveyor_jr,3937,114,59,41,7,"From the hospitalized cases today, only 7 were asymptomatic. 18 deaths were reported in today and 13 deaths were at institutional level while 5 were at community level."
2/10/2021 21:17,34864,83,3561,182,11,2.3,,,83,0,1364,29471,,349,b7f809a6-984c-44eb-99ea-aad84feb6550,2/10/2021 21:25,,2/10/2021 21:25,,4029,117,64,35,9,"From the hospitalized cases, 9 were asymptomatic."
2/9/2021 21:21,34781,123,2447,464,14,5,,,123,0,1353,29289,,348,4bf7f4d2-c80a-46eb-ac84-502d97b2e788,2/9/2021 21:28,surveyor_jr,2/9/2021 21:28,surveyor_jr,4139,103,63,15,8,"From the Hospitalized cases, 17 were asymptomatic. 14 COVID-19 deaths were reported today of which 10 of them occurred at institutional level  with 4 at community level."
2/8/2021 20:53,34658,106,2557,274,13,4.1,,,106,0,1339,28825,,347,7e726f7a-a547-40bb-9a56-a0e9579e57e6,2/8/2021 20:57,surveyor_jr,2/8/2021 20:57,surveyor_jr,4494,166,98,42,12,From the hospitalized cases today 14 were reported to be Asymptomatic. 13 deaths were reported today of which 8 of the deaths occurred at Institutional level with the remaining 5 at community level.
2/7/2021 21:22,34552,65,1064,168,10,6.1,,,65,0,1326,28551,,346,7eaf4592-2766-4096-8aa1-4f8bdbaa1e34,2/7/2021 21:25,,2/7/2021 21:25,,4675,84,56,9,8,From the  hospitalized cases 11 were asymptomatic.
2/6/2021 22:54,34487,156,2086,238,13,7.5,,,156,0,1316,28383,,345,05a900da-cf0d-44c3-826d-a0512e9d5123,2/6/2021 22:59,surveyor_jr,2/6/2021 22:59,surveyor_jr,4788,90,63,17,6,"Among the hospitalized cases, only 4 were asymptomatic. 11 deaths occurred at Institutional level and the remaining two were at community level ."
2/5/2021 21:02,34331,160,2645,386,15,6.05,,,160,0,1303,28145,,344,7d1fe23f-0310-46c5-9bb5-86e8c992a7d8,2/5/2021 21:12,surveyor_jr,2/5/2021 21:12,surveyor_jr,4883,174,91,58,12,From the hospitalized cases 13 were asymptomatic. 15 deaths reported today pf which 11 occurred at institutional level and the remaining 4 were at community level.
2/4/2021 20:40,34171,207,3076,368,19,6.7,,,207,0,1288,27759,,342,dd070297-1569-4164-8c8c-1b92b8fdadc7,2/4/2021 20:43,surveyor_jr,2/4/2021 20:43,surveyor_jr,5124,171,89,59,13,"Among the hospitalized cases, 10 of them were asymptomatic. Cumulative cases curve begins to flatten. 
19 COVID-19 related deaths were reported in today of which 10 were at institutional level and 9 were at community level."
2/3/2021 21:21,33964,150,2829,597,15,5.3,,,150,0,1269,27391,,340,736543f9-eedc-4068-8e02-005bb757484e,2/3/2021 21:26,surveyor_jr,2/3/2021 21:26,surveyor_jr,5304,178,98,65,15,All facilities submitted data today
2/2/2021 22:59,33814,266,4160,211,20,6.4,,,266,0,1254,26794,,339,1e7c6dfd-cf70-4b37-bbaf-87a5e389f9e6,2/2/2021 23:04,surveyor_jr,2/2/2021 23:04,surveyor_jr,5766,148,79,59,10,Mater Dei and Thorngroove did not report today
2/1/2021 21:38,33548,160,2433,539,17,6.6,,,160,0,1234,26583,,338,c800c9b4-14f3-443d-8c8e-28231d936b6d,2/1/2021 21:41,surveyor_jr,2/2/2021 9:30,surveyor_jr,5731,177,99,69,9,"Mater Dei did not report on hospitalization today. From the 17 deaths reported , 10 occurred at Institutional level while the remaining 7 were at community level."
1/31/2021 21:26,33388,115,1762,683,24,6.5,Zimbabwe,,115,0,1217,26044,,336,993f4241-7644-4e05-b8f1-99d1f61ad01a,1/31/2021 21:27,,2/2/2021 9:30,surveyor_jr,6127,77,64,9,4,
1/30/2021 20:52,33273,321,1985,489,15,16,zimbabwe,,321,0,1193,25361,,335,321201dc-52d4-4915-bcbe-5a2f6667837c,1/30/2021 20:53,,2/2/2021 9:30,surveyor_jr,6719,108,87,16,5,
1/29/2021 21:52,32952,306,4254,453,18,7.2,zimbabwe,,306,0,1178,24872,,334,4edd1537-45af-48d0-afaa-e0da117fa194,1/29/2021 21:54,,2/2/2021 9:30,surveyor_jr,6902,200,116,72,12,
1/28/2021 22:31,32646,342,4164,732,38,8.2,"zimbabwe
",,342,0,1160,24419,,333,eebedd40-4818-42f9-8a6c-1779702c8c1e,1/28/2021 22:35,,2/2/2021 9:30,surveyor_jr,7067,,,,,
1/27/2021 21:57,32304,300,3666,274,19,8.2,zimbabwe,,300,0,1122,23687,,332,3d112e0c-3385-437a-8e41-beb79d9159e7,1/27/2021 21:59,,2/2/2021 9:30,surveyor_jr,7495,205,127,65,13,
