Date,Total-Cumulative-Cases,ObjectId,New-Cases,PCR,Recovered,Deaths,Daily-Positive-%age,Country,RDT,Local Transmissions,Imported Cases,GlobalID,Cum-Deaths,Cum-Recovery,CFR%
10/13/2020 12:00:00 AM,,1,,,,,,,,,,c549b4a9-325d-4a3a-a526-5b7ba8d66fb1,,,
7/1/2020 12:00:00 AM,605,2,14,380,3,0,3.68421052631579,,,,,a593cf1e-9390-4075-a79c-6ebc5f87670c,7,166,
10/14/2020 12:00:00 AM,,3,,,,,,,,,,02b83d7d-e8ef-488d-b8d2-6f73e112881f,,,
10/15/2020 12:00:00 AM,,4,,,,,,,,,,a26a581e-9103-4151-b272-97f66da4cf7c,,,
7/2/2020 12:00:00 AM,615,5,12,522,7,0,2.29885057471264,,,,,7789da1c-d41a-4472-9dfc-b1a3d65dd944,7,173,
7/3/2020 12:00:00 AM,623,6,8,499,3,0,1.60320641282565,,,,,1ba440bf-a69e-4320-8316-9388e73275b2,7,176,
10/16/2020 12:00:00 AM,,7,,,,,,,,,,64b831da-753f-4e8d-91ab-081a466d5398,,,
7/4/2020 12:00:00 AM,698,8,73,733,5,1,9.95907230559345,,,,,afb16a2f-f453-4493-9210-2a8421aa9be0,8,181,
7/5/2020 12:00:00 AM,714,9,18,411,0,0,4.37956204379562,,,,,cc1276a9-6528-4de8-a3dc-384ea6aecea4,8,181,
10/17/2020 12:00:00 AM,,10,,,,,,,,,,92435d3a-d848-4cd4-b875-0b792d0a88c4,,,
10/18/2020 12:00:00 AM,,11,,,,,,,,,,07900cc8-d073-4de8-a85e-19958a488e77,,,
7/6/2020 12:00:00 AM,734,12,18,312,16,1,5.76923076923077,,,,,128a40c3-e66a-4279-9834-63133db2e3d9,9,197,
7/7/2020 12:00:00 AM,787,13,53,592,4,0,8.9527027027027,,,,,20fc6a38-531a-4bf8-ac7b-c126600024f2,9,201,
10/19/2020 12:00:00 AM,,14,,,,,,,,,,b1a2ae26-7e63-42dd-b726-7421210a4787,,,
10/20/2020 12:00:00 AM,,15,,,,,,,,,,3afa7459-79bc-409d-8f7e-247310d5ba02,,,
7/8/2020 12:00:00 AM,885,16,98,606,5,0,16.1716171617162,,,,,0d84082c-dd96-4a36-9387-2c5ded099108,9,206,
7/9/2020 12:00:00 AM,926,17,41,580,100,3,7.06896551724138,,,,,5a7eff21-f0fb-4708-ac29-c42a18b819f1,12,306,
10/21/2020 12:00:00 AM,,18,,,,,,,,,,ac0c4626-0a5c-4b00-b581-eeb0d6edbfce,,,
10/22/2020 12:00:00 AM,,19,,,,,,,,,,71418652-3ab1-46d8-8cb8-5d42935a204b,,,
7/10/2020 12:00:00 AM,942,20,16,659,14,1,2.42792109256449,,,,,114a964e-1ed5-449a-9b93-d4dc761a3430,13,320,
