PROVINCE,NUMBER OF CASES,RECOVERED,DEATHS,ACTIVE CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,Cases per 100K,Deaths Per 100K,CreationDate,Creator,EditDate,Editor,x2,y2
Bulawayo,1752,1593,65,94,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,145.9177996,5.413616996,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,28.55707987,-20.13526897
Harare,3333,3143,121,69,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,156.9850579,5.699127515,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,31.05768081,-17.84441145
Manicaland,546,501,24,21,1752698,3,Manicaland,ZWE,32.39631836,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,31.15197256,1.369317475,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,32.39631836,-19.06493203
Mashonaland Central,212,207,4,1,1152520,4,Mashonaland Central,ZWE,31.19292775,-16.70276594,6e054a2b-8657-447f-a428-4b280cc7492a,18.39447472,0.347065561,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,31.19292775,-16.70276594
Mashonaland East,427,410,5,12,1344955,5,Mashonaland East,ZWE,31.69323518,-17.98508139,ad275413-3776-48df-972a-5a8bf1f21da8,31.74827411,0.37175965,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,31.69323518,-17.98508139
Mashonaland West,352,338,12,2,1501656,6,Mashonaland West,ZWE,29.74738624,-17.20182894,acf3551f-ab04-49c5-b56a-f5262d3d71c3,23.44078804,0.799117774,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,29.74738624,-17.20182894
Midlands ,722,666,10,46,1614941,7,Midlands,ZWE,29.46232819,-18.98245568,540d98b2-0def-430b-b890-0e8f465c17aa,44.70751563,0.619217668,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,29.46232819,-18.98245568
Masvingo,259,237,3,19,1485090,8,Masvingo,ZWE,31.24022633,-20.78869627,1e65b084-330c-488e-89d8-596877afa78a,17.44002047,0.202007959,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,31.24022633,-20.78869627
Matebeleland North,163,149,3,11,749017,9,Matabeleland North,ZWE,27.39588169,-18.84521821,a58ca9eb-8590-46a7-89c6-f0042e8c7786,21.76185587,0.400524955,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,27.39588169,-18.84521821
Matebeleland South,844,796,8,40,683893,10,Matabeleland South,ZWE,28.99038805,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,123.4111184,1.169773634,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,28.99038805,-21.00874349
