PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Matebeleland North,"563","488","3","72","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,102,0.400524954707303,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Mashonaland Central,"487","284","6","197","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,48,0.433831950855517,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Midlands ,"1094","917","11","166","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,98,0.619217668013878,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Matebeleland South,"1452","990","12","450","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,357,1.31599533845207,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Mashonaland East,"720","583","14","123","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,81,0.371759649951114,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Mashonaland West,"726","628","14","84","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,259,0.799117773977529,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Masvingo,"687","557","14","116","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,99,0.538687890969571,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Manicaland,"1015","712","40","263","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,161,1.54048215950495,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Bulawayo,"3479","3034","97","348","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,445,6.91277247150772,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
Harare,"3861","3154","158","549","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,483,6.17012978938662,2020/10/12 11:40:20,surveyor_jr,2021/01/01 21:01:24,surveyor_jr
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,"591","582","9","0","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,36.5957641796202,0.55729590121249
Manicaland,"481","437","22","22","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,27.4434043971066,1.25520768552255
Mashonaland Central,"205","197","4","4","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,17.7871099850762,0.347065560684413
Masvingo,"231","228","2","1","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,15.5546128517464,0.134671972742393
Mashonaland East,"394","385","4","5","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,29.2946604161478,0.297407719960891
Harare,"3252","2006","121","1125","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,153.169939504468,5.69912751538764
Matebeleland South,"778","761","7","10","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,113.760485923968,1.02355192990716
Bulawayo,"1452","1306","44","102","1200676","1",Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,120.931875043725,3.66460227405228
Matebeleland North,"134","128","3","3","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,17.8901146435929,0.400524954707303
Mashonaland West,"331","282","12","37","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,22.0423319322135,0.799117773977529
﻿PROVINCE,NUMBER OF CASES,RECOVERED,DEATHS,ACTIVE CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,Cases per 100K,Deaths Per 100K,CreationDate,Creator,EditDate,Editor,x2,y2
Bulawayo,1656,1521,56,79,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,137.922303768877,4.33089359660725,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,28.5570798702583,-20.1352689705969
Harare,3327,3143,121,63,2123132,2,Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,156.70245655946,5.69912751538764,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,31.0576808118934,-17.8444114522181
Manicaland,532,492,23,17,1752698,3,Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,30.0108746629482,1.31226258031903,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,32.3963183562991,-19.0649320298624
Mashonaland Central,209,204,4,1,1152520,4,Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,18.1341755457606,0.347065560684413,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,31.1929277465741,-16.7027659391794
Mashonaland East,414,410,4,0,1344955,5,Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,30.7816990159522,0.297407719960891,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,31.6932351752473,-17.9850813869401
Mashonaland West,352,338,12,2,1501656,6,Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,23.4407880366742,0.799117773977529,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,29.7473862420874,-17.2018289438716
Midlands ,686,657,9,20,1614941,7,Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,42.478332025752,0.55729590121249,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,29.4623281936372,-18.9824556761683
Masvingo,240,237,3,0,1485090,8,Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,16.1606367290871,0.202007959113589,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,31.2402263306987,-20.7886962738282
Matebeleland North,154,139,3,12,749017,9,Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,20.4267726900725,0.400524954707303,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,27.395881686734,-18.8452182146467
Matebeleland South,804,786,8,10,683893,10,Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,117.562250235051,1.16977363417962,10/12/2020 9:40:20 AM,surveyor_jr,11/1/2020 9:19:29 PM,surveyor_jr,28.9903880461785,-21.0087434896123
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1163","617","13","533","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,155.136665789962,1.73560813706498,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Mat South,"2076","1943","17","116","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,303.263814661065,2.48576897263168,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:37:12,surveyor_jr,,,
Midlands ,"2273","1825","48","400","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,140.252801805143,2.97224480646661,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Masvingo,"2122","1940","63","119","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,141.876923284111,4.17483115501417,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Mash Central,"1573","1266","68","239","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,135.876167007948,5.63981536112172,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Mash East,"2374","1700","89","585","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,175.247498986955,6.24556211917871,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Mash West,"1838","1255","114","469","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,121.798867383742,7.59161885278652,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Manicaland,"3422","2528","166","728","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,194.899520624774,9.35700274662264,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Bulawayo,"4852","4247","186","419","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,403.022963730432,15.4912732494028,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:25:39,surveyor_jr,,,
Harare,"11855","9262","470","2123","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,554.981979452997,21.195102329954,2020/10/12 11:40:20,surveyor_jr,2021/02/01 21:37:25,surveyor_jr,,,
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1220","1021","15","184","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,160.076473564685,1.86911645530075,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Mat South,"2172","2115","32","25","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,308.820239423419,3.9479860153562,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Midlands ,"2399","2316","64","19","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,146.444978485282,3.83914954168604,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Masvingo,"2330","2243","66","21","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,152.246665185275,4.44417510049896,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Mash Central,"1668","1577","82","9","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,141.602748759241,6.59424565300385,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Mash East,"2542","2372","116","54","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,185.136305675655,8.10436036893428,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Mash West,"2032","1865","133","34","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,130.655756045326,8.39073662676405,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Manicaland,"3716","2937","191","588","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,207.508652374796,10.4981006425522,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Bulawayo,"5281","5004","203","74","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,427.509169834327,16.4907102332353,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
Harare,"12755","11455","566","734","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,583.147915438136,25.3399223411451,2020/10/12 11:40:20,surveyor_jr,2021/03/01 20:42:04,surveyor_jr,,,
PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Mat North,"1373","1264","19","90","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,171.29117229649,2.13613309177228,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:51:19,surveyor_jr,,,
Mat South,"2765","2460","34","271","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,384.416860532276,4.67909453671846,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Masvingo,"2408","2336","67","5","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,161.875711236356,4.44417510049896,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Midlands ,"2461","2383","72","6","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,152.017937497407,4.27260190929576,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Mash Central,"1732","1630","90","12","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,149.324957484469,7.37514316454378,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Mash East,"2585","2464","119","2","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,191.827979374775,8.62482387886583,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
Mash West,"2107","1925","141","41","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,139.779017298236,8.79029551375282,2020/10/12 11:40:20,surveyor_jr,2021/05/01 23:47:08,surveyor_jr,,,
