,PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,SHAPE
0,Bulawayo,20646,19722,861,63,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,1108.20904223954,61.215515259737,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3178959.5896999985, 'y': -2289062.297200002, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
1,Harare,46733,44885,1777,71,2123132,2,Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,1298.64746986998,71.2155438286456,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3457325.213199999, 'y': -2019345.1862999983, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
2,Manicaland,29221,28381,548,292,1752698,3,Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,818.110136486719,26.41641629077,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3606341.662999999, 'y': -2162582.103, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
3,Mash Central,14147,13686,319,142,1152520,4,Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,735.25839030993,22.4724950543158,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3472380.8330999985, 'y': -1886252.5042999983, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4,Mash East,32107,30252,411,1444,1344955,5,Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,1061.37380061043,25.6514158466268,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3528074.8013000004, 'y': -2035802.4211999997, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
5,Mash West,30763,30209,576,-22,1501656,6,Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,1091.46169295764,32.8970150287416,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3311463.8889000006, 'y': -1944331.8238000013, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
6,Midlands ,17651,17149,427,75,1614941,7,Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,633.15006554419,25.0163937877607,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3279731.3720999993, 'y': -2152870.4640999995, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
7,Masvingo,21476,21219,202,55,1485090,8,Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,744.197321374462,12.3224855059289,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3477646.0874000005, 'y': -2366700.6369000003, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8,Mat North,17538,17320,127,91,749017,9,Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,1090.89646830446,13.4843401418125,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3049695.599199999, 'y': -2136721.3159999996, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9,Mat South,16243,15994,198,51,683893,10,Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,1345.67834441938,26.7585718818587,2020-10-12 09:40:20.357000113,surveyor_jr,2022-04-04 08:27:41.036000013,surveyor_jr,"{'x': 3227195.235199999, 'y': -2392921.1862000003, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
