,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
0,,Afghanistan,2021-07-30,1381416,763020.0,219159.0,2021/07/30,4.0
1,,Albania,2021-07-30,1138771,640047.0,498724.0,2021/07/30,8.0
2,,Algeria,2021-07-30,3421279,3421279.0,724812.0,2021/07/30,12.0
3,,Andorra,2021-07-30,82349,48445.0,33904.0,2021/07/30,20.0
4,,Angola,2021-07-30,1592537,958373.0,634164.0,2021/07/30,24.0
5,,Antigua and Barbuda,2021-07-30,68715,38067.0,30648.0,2021/07/30,28.0
6,,Argentina,2021-07-30,30655272,24542819.0,6532982.0,2021/07/30,32.0
7,Autonomous City of Buenos Aires,Argentina,2021-07-30,2624672,,,2021/07/30,3201.0
8,Buenos Aires,Argentina,2021-07-30,11708365,,,2021/07/30,3202.0
9,Catamarca,Argentina,2021-07-30,277277,,,2021/07/30,3203.0
10,Chaco,Argentina,2021-07-30,696462,,,2021/07/30,3204.0
11,Chubut,Argentina,2021-07-30,390037,,,2021/07/30,3205.0
12,Cordoba,Argentina,2021-07-30,2593725,,,2021/07/30,3207.0
13,Corrientes,Argentina,2021-07-30,699793,,,2021/07/30,3206.0
14,Entre Rios,Argentina,2021-07-30,861768,,,2021/07/30,3208.0
15,Formosa,Argentina,2021-07-30,404033,,,2021/07/30,3209.0
16,Jujuy,Argentina,2021-07-30,504530,,,2021/07/30,3210.0
17,La Pampa,Argentina,2021-07-30,281821,,,2021/07/30,3211.0
18,La Rioja,Argentina,2021-07-30,281381,,,2021/07/30,3212.0
19,Mendoza,Argentina,2021-07-30,1287403,,,2021/07/30,3213.0
20,Misiones,Argentina,2021-07-30,627852,,,2021/07/30,3214.0
21,Neuquen,Argentina,2021-07-30,502701,,,2021/07/30,3215.0
22,Rio Negro,Argentina,2021-07-30,537528,,,2021/07/30,3216.0
23,Salta,Argentina,2021-07-30,815906,,,2021/07/30,3217.0
24,San Juan,Argentina,2021-07-30,529084,,,2021/07/30,3218.0
25,San Luis,Argentina,2021-07-30,399124,,,2021/07/30,3219.0
26,Santa Cruz,Argentina,2021-07-30,227255,,,2021/07/30,3220.0
27,Santa Fe,Argentina,2021-07-30,2488640,,,2021/07/30,3221.0
28,Santiago del Estero,Argentina,2021-07-30,669123,,,2021/07/30,3222.0
29,Tierra del Fuego,Argentina,2021-07-30,120644,,,2021/07/30,3223.0
30,Tucuman,Argentina,2021-07-30,1126148,,,2021/07/30,3224.0
31,,Armenia,2021-07-30,153656,108674.0,43855.0,2021/07/30,51.0
32,,Australia,2021-07-30,12005978,8170354.0,3624882.0,2021/07/30,36.0
33,Australian Capital Territory,Australia,2021-07-30,247173,,,2021/07/30,3601.0
34,New South Wales,Australia,2021-07-30,3789560,,,2021/07/30,3602.0
35,Northern Territory,Australia,2021-07-30,142917,,,2021/07/30,3603.0
36,Queensland,Australia,2021-07-30,2262980,,,2021/07/30,3604.0
37,South Australia,Australia,2021-07-30,858606,,,2021/07/30,3605.0
38,Tasmania,Australia,2021-07-30,317688,,,2021/07/30,3606.0
39,Unknown,Australia,2021-07-30,0,,,2021/07/30,3609.0
40,Victoria,Australia,2021-07-30,3283466,,,2021/07/30,3607.0
41,Western Australia,Australia,2021-07-30,1103588,,,2021/07/30,3608.0
42,,Austria,2021-07-30,9600447,5274913.0,4517902.0,2021/07/30,40.0
43,,Azerbaijan,2021-07-30,4798286,2777752.0,2020534.0,2021/07/30,31.0
44,,Bahamas,2021-07-30,103164,60578.0,43943.0,2021/07/30,44.0
45,,Bahrain,2021-07-30,2291441,1106716.0,1051287.0,2021/07/30,48.0
46,,Bangladesh,2021-07-30,10565614,6883277.0,4306386.0,2021/07/30,50.0
47,Barisal,Bangladesh,2021-07-30,460115,,,2021/07/30,5001.0
48,Chittagong,Bangladesh,2021-07-30,2158913,,,2021/07/30,5002.0
49,Dhaka,Bangladesh,2021-07-30,3414409,,,2021/07/30,5003.0
50,Khulna,Bangladesh,2021-07-30,1257817,,,2021/07/30,5004.0
51,Mymensingh,Bangladesh,2021-07-30,496565,,,2021/07/30,5005.0
52,Rajshahi,Bangladesh,2021-07-30,1161797,,,2021/07/30,5006.0
53,Rangpur,Bangladesh,2021-07-30,1056199,,,2021/07/30,5007.0
54,Sylhet,Bangladesh,2021-07-30,559799,,,2021/07/30,5008.0
55,Unknown,Bangladesh,2021-07-30,0,,,2021/07/30,5009.0
56,,Barbados,2021-07-30,174129,99278.0,74851.0,2021/07/30,52.0
57,,Belarus,2021-07-30,2194993,1334540.0,860453.0,2021/07/30,112.0
58,,Belgium,2021-07-30,14302977,7963756.0,6498934.0,2021/07/30,56.0
59,,Belize,2021-07-30,175735,126693.0,49042.0,2021/07/30,84.0
60,,Bhutan,2021-07-30,963652,486242.0,476188.0,2021/07/30,64.0
61,,Bolivia,2021-07-30,4426954,2863296.0,1563658.0,2021/07/30,68.0
62,,Bosnia and Herzegovina,2021-07-30,611641,381381.0,230260.0,2021/07/30,70.0
63,,Botswana,2021-07-30,331408,209890.0,121518.0,2021/07/30,72.0
64,,Brazil,2021-07-30,132054426,103500926.0,40546320.0,2021/07/30,76.0
65,Acre,Brazil,2021-07-30,503043,,,2021/07/30,7601.0
66,Alagoas,Brazil,2021-07-30,1807193,,,2021/07/30,7602.0
67,Amapa,Brazil,2021-07-30,382791,,,2021/07/30,7603.0
68,Amazonas,Brazil,2021-07-30,2331247,,,2021/07/30,7604.0
69,Bahia,Brazil,2021-07-30,7929428,,,2021/07/30,7605.0
70,Ceara,Brazil,2021-07-30,4635650,,,2021/07/30,7606.0
71,Distrito Federal,Brazil,2021-07-30,1732667,,,2021/07/30,7607.0
72,Espirito Santo,Brazil,2021-07-30,2758976,,,2021/07/30,7608.0
73,Goias,Brazil,2021-07-30,4160936,,,2021/07/30,7609.0
74,Maranhao,Brazil,2021-07-30,3901055,,,2021/07/30,7610.0
75,Mato Grosso,Brazil,2021-07-30,2016464,,,2021/07/30,7611.0
76,Mato Grosso do Sul,Brazil,2021-07-30,2218557,,,2021/07/30,7612.0
77,Minas Gerais,Brazil,2021-07-30,12373093,,,2021/07/30,7613.0
78,Para,Brazil,2021-07-30,3830134,,,2021/07/30,7614.0
79,Paraiba,Brazil,2021-07-30,2420393,,,2021/07/30,7615.0
80,Parana,Brazil,2021-07-30,7869724,,,2021/07/30,7616.0
81,Pernambuco,Brazil,2021-07-30,5322445,,,2021/07/30,7617.0
82,Piaui,Brazil,2021-07-30,1878975,,,2021/07/30,7618.0
83,Rio Grande do Norte,Brazil,2021-07-30,2169817,,,2021/07/30,7620.0
84,Rio Grande do Sul,Brazil,2021-07-30,9140099,,,2021/07/30,7621.0
85,Rio de Janeiro,Brazil,2021-07-30,10830390,,,2021/07/30,7619.0
86,Rondonia,Brazil,2021-07-30,950145,,,2021/07/30,7622.0
87,Roraima,Brazil,2021-07-30,302772,,,2021/07/30,7623.0
88,Santa Catarina,Brazil,2021-07-30,4677225,,,2021/07/30,7624.0
89,Sao Paulo,Brazil,2021-07-30,33972306,,,2021/07/30,7625.0
90,Sergipe,Brazil,2021-07-30,1121069,,,2021/07/30,7626.0
91,Tocantins,Brazil,2021-07-30,817832,,,2021/07/30,7627.0
92,,Brunei,2021-07-30,150102,126050.0,24052.0,2021/07/30,96.0
93,,Bulgaria,2021-07-30,2013988,1022453.0,991535.0,2021/07/30,100.0
94,,Burma,2021-07-30,3500000,1840758.0,1527284.0,2021/07/30,104.0
95,,Cambodia,2021-07-30,11802138,7131184.0,4670954.0,2021/07/30,116.0
96,,Cameroon,2021-07-30,331875,279987.0,51888.0,2021/07/30,120.0
97,,Canada,2021-07-30,48176339,26917700.0,21881949.0,2021/07/30,124.0
98,Alberta,Canada,2021-07-30,5221375,,,2021/07/30,12401.0
99,British Columbia,Canada,2021-07-30,6584264,,,2021/07/30,12402.0
100,Manitoba,Canada,2021-07-30,1749477,,,2021/07/30,12403.0
101,New Brunswick,Canada,2021-07-30,1014351,,,2021/07/30,12404.0
102,Newfoundland and Labrador,Canada,2021-07-30,636286,,,2021/07/30,12405.0
103,Northwest Territories,Canada,2021-07-30,63564,,,2021/07/30,12406.0
104,Nova Scotia,Canada,2021-07-30,1303736,,,2021/07/30,12407.0
105,Nunavut,Canada,2021-07-30,42032,,,2021/07/30,12416.0
106,Ontario,Canada,2021-07-30,19110428,,,2021/07/30,12408.0
107,Prince Edward Island,Canada,2021-07-30,192902,,,2021/07/30,12409.0
108,Quebec,Canada,2021-07-30,10804756,,,2021/07/30,12410.0
109,Saskatchewan,Canada,2021-07-30,1390263,,,2021/07/30,12411.0
110,Yukon,Canada,2021-07-30,62905,,,2021/07/30,12412.0
111,,Chile,2021-07-30,25444116,13801885.0,12147091.0,2021/07/30,152.0
112,,China,2021-07-30,1619218000,622000000.0,223299000.0,2021/07/30,156.0
113,Hong Kong,China,2021-07-30,5527860,,,2021/07/30,344.0
114,Macau,China,2021-07-30,501061,,,2021/07/30,446.0
115,,Colombia,2021-07-30,26515327,16794653.0,11759641.0,2021/07/30,170.0
116,Amazonas,Colombia,2021-07-30,67243,,,2021/07/30,17001.0
117,Antioquia,Colombia,2021-07-30,3904947,,,2021/07/30,17002.0
118,Arauca,Colombia,2021-07-30,120366,,,2021/07/30,17003.0
119,Atlantico,Colombia,2021-07-30,1306916,,,2021/07/30,17004.0
120,Bolivar,Colombia,2021-07-30,1051112,,,2021/07/30,17005.0
121,Boyaca,Colombia,2021-07-30,822324,,,2021/07/30,17006.0
122,Caldas,Colombia,2021-07-30,553926,,,2021/07/30,17007.0
123,Capital District,Colombia,2021-07-30,4859016,,,2021/07/30,17008.0
