,objectid,globalid,reportDate,newRecordsInfo,pcr_newBulawayo,pcr_newHarare,pcr_newManicaland,pcr_newMashCentral,pcr_newMashEast,pcr_newMashWest,pcr_newMidlands,pcr_newMasvingo,pcr_newMatNorth,pcr_newMatSouth,case_newBulawayo,case_newHarare,case_newManicaland,case_newMashCentral,case_newMashEast,case_newMashWest,case_newMidlands,case_newMasvingo,case_newMatNorth,case_newMatSouth,recov_newBulawayo,recov_newHarare,recov_newManicaland,recov_newMashCentral,recov_newMashEast,recov_newMashWest,recov_newMidlands,recov_newMasvingo,recov_newMatNorth,recov_newMatSouth,death_newBulawayo,death_newHarare,death_newManicaland,death_newMashCentral,death_newMashEast,death_newMashWest,death_newMidlands,death_newMasvingo,death_newMatNorth,death_newMatSouth,totalHelpInfo,case_totalBulawayo,case_totalHarare,case_totalManicaland,case_totalMashCentral,case_totalMashEast,case_totalMashWest,case_totalMidlands,case_totalMasvingo,case_totalMatNorth,case_totalMatSouth,recov_totalBulawayo,recov_totalHarare,recov_totalManicaland,recov_totalMashCentral,recov_totalMashEast,recov_totalMashWest,recov_totalMidlands,recov_totalMasvingo,recov_totalMatNorth,recov_totalMatSouth,active_totalBulawayo,active_totalHarare,active_totalManicaland,active_totalMashCentral,active_totalMashEast,active_totalMashWest,active_totalMidlands,active_totalMasvingo,active_totalMatNorth,active_totalMatSouth,death_totalBulawayo,death_totalHarare,death_totalManicaland,death_totalMashCentral,death_totalMashEast,death_totalMashWest,death_totalMidlands,death_totalMasvingo,death_totalMatNorth,death_totalMatSouth,reportStatus,didNotReport,CreationDate,Creator,EditDate,Editor,SHAPE
0,1,ce081cec-17f2-47e8-857c-a6d90451db4d,2021-07-10 10:00:00,,1089,2197,248,635,1198,1532,1062,649,697,936,160,326,110,141,191,584,60,66,91,58,60,91,5,63,40,38,0,98,164,0,4,8,0,1,4,19,3,0,3,0,,8124,16803,6131,4047,5447,9163,5079,4945,2750,4364,6272,13158,4006,2222,2790,4656,2862,3413,1792,3409,1539,2884,1900,1715,2521,4246,2056,1447,928,911,313,761,225,110,136,261,161,85,30,44,yes,,2021-07-11 01:03:56.861999989,surveyor_jr,2021-07-11 01:03:56.861999989,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
1,2,1df95b22-1d2b-4e8b-8a1e-37f5a93c209c,2021-07-11 10:00:00,,222,1534,386,406,428,520,308,240,199,262,112,158,65,62,103,230,34,64,41,43,57,37,12,66,193,462,0,0,0,210,16,14,3,4,1,8,4,0,3,6,,8236,16961,6196,4109,5550,9393,5113,5009,2791,4407,6329,13195,4018,2288,2983,5118,2862,3413,1792,3619,1578,2991,1950,1707,2430,4006,2086,1511,966,738,329,774,228,114,137,269,165,85,33,50,no,Masvingo,2021-07-11 21:41:05.539999962,surveyor_jr,2021-07-11 21:41:05.539999962,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
2,3,8c00c209-021e-4403-893e-a80e236eb350,2021-07-12 10:00:00,,414,2717,212,193,661,885,661,706,290,298,219,330,297,242,338,329,210,320,216,160,86,77,40,68,0,852,0,0,50,142,11,9,1,1,1,13,9,2,0,4,,8455,17291,6493,4351,5888,9722,5323,5329,3007,4567,6415,13272,4058,2356,2983,5970,2862,3413,1842,3761,1700,3235,2206,1880,2767,3470,2287,1829,1132,752,340,784,229,115,138,282,174,87,33,54,no,Masvingo,2021-07-12 20:47:16.255000114,surveyor_jr,2021-07-12 20:47:16.255000114,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
3,4,a99bca48-106b-4984-89e2-ed804c594a4b,2021-07-13 10:00:00,,303,5526,369,1027,781,1537,842,790,1317,1319,119,468,336,206,377,496,166,280,246,151,142,223,0,128,40,535,0,0,32,70,6,2,1,7,2,4,9,0,0,7,,8574,17759,6829,4557,6265,10218,5489,5609,3253,4718,6557,13495,4058,2484,3023,6505,2862,3413,1874,3831,1671,3478,2541,1951,3102,3427,2444,2109,1346,826,346,786,230,122,140,286,183,87,33,61,no,"Midlands,MatNorth",2021-07-13 21:13:14.213999987,surveyor_jr,2021-07-13 21:13:14.213999987,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
4,5,0c47dbf0-ee7f-49d9-8d47-465e71cc60a5,2021-07-14 10:00:00,,1197,3721,1585,405,1501,1989,604,620,138,844,358,422,310,285,393,437,190,255,165,295,96,266,0,107,276,0,0,94,50,62,20,5,2,3,4,3,9,5,2,5,,8932,18181,7139,4842,6658,10655,5679,5864,3418,5013,6653,13761,4058,2591,3299,6505,2862,3507,1924,3893,1913,3629,2849,2126,3215,3861,2625,2265,1459,1054,366,791,232,125,144,289,192,92,35,66,no,"Midlands,Masvingo,MatNorth",2021-07-14 22:39:03.479000092,surveyor_jr,2021-07-14 22:39:03.479000092,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
5,6,e65e59fa-c8ca-4dc6-8ebb-bf00c7468f42,2021-07-15 10:00:00,,988,6351,2418,1433,786,2815,1154,1081,1686,1919,177,457,262,322,344,423,91,91,190,134,109,244,0,119,4,21,0,0,6,218,14,27,11,7,15,5,4,0,0,3,,9109,18638,7401,5164,7002,11078,5770,5955,3608,5147,6762,14005,4058,2710,3303,6526,2862,3507,1930,4111,1967,3815,3100,2322,3540,4258,2712,2356,1643,967,380,818,243,132,159,294,196,92,35,69,yes,,2021-07-15 21:28:30.043999910,surveyor_jr,2021-07-15 21:28:30.043999910,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
6,7,b5dea8fa-17f7-4175-808e-f9b9c8810c6b,2021-07-16 10:00:00,,428,3706,883,387,1392,2133,527,476,1029,686,138,438,304,176,204,337,129,191,169,210,90,43,50,134,229,218,0,448,55,98,6,49,9,4,9,7,8,4,3,3,,9247,19076,7705,5340,7206,11415,5899,6146,3777,5357,6852,14048,4108,2844,3532,6744,2862,3955,1985,4209,2009,4161,3345,2360,3506,4370,2833,2095,1754,1076,386,867,252,136,168,301,204,96,38,72,yes,,2021-07-16 22:05:34.555000067,surveyor_jr,2021-07-16 22:05:34.555000067,surveyor_jr,"{'x': 29.8382637, 'y': -19.5175104, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
7,8,e278ab5e-17f4-44c7-87e6-171bbf3006e9,2021-07-17 10:00:00,,420,2032,744,487,1200,2547,779,356,1003,1000,150,107,142,90,247,339,79,79,70,142,41,120,0,35,0,518,0,0,40,30,3,18,4,0,8,14,11,1,3,6,,9397,19183,7847,5430,7453,11754,5978,6225,3847,5499,6893,14168,4108,2879,3532,7262,2862,3955,2025,4239,2115,4130,3483,2415,3745,4177,2901,2173,1781,1182,389,885,256,136,176,315,215,97,41,78,yes,,2021-07-17 21:02:55.072000027,surveyor_jr,2021-07-17 21:02:55.072000027,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
8,9,4ecccd93-44cd-493e-8b45-c04f7e485b48,2021-07-18 10:00:00,,391,1051,329,209,339,562,307,179,214,295,111,93,121,63,151,238,70,63,60,36,104,116,18,75,61,1081,0,0,45,30,7,8,1,2,4,3,5,1,0,3,,9508,19276,7968,5493,7604,11992,6048,6288,3907,5535,6997,14284,4126,2954,3593,8343,2862,3955,2070,4269,2115,4099,3585,2401,3831,3331,2966,2235,1796,1185,396,893,257,138,180,318,220,98,41,81,yes,,2021-07-18 21:07:49.898000002,surveyor_jr,2021-07-18 21:07:49.898000002,surveyor_jr,"{'x': 29.8382715, 'y': -19.5175514, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
9,10,682e88f5-a61f-4d6e-8969-cf8e6226619a,2021-07-19 10:00:00,,541,3243,558,36,646,796,499,567,341,358,200,252,175,239,330,250,140,184,214,129,158,0,244,146,0,88,857,563,30,175,13,8,13,8,8,14,5,0,4,2,,9708,19528,8143,5732,7934,12242,6188,6472,4121,5664,7155,14284,4370,3100,3593,8431,3719,4518,2100,4444,2144,4343,3503,2486,4153,3479,2244,1856,1976,1137,409,901,270,146,188,332,225,98,45,83,yes,,2021-07-20 07:02:42.492000103,surveyor_jr,2021-07-20 07:02:42.492000103,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
