OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,vaccinated,complic,population,coverage_,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,GlobalID,first_dose,second_dose,health_workers
"1","256",ZWE,Zimbabwe,"1",Bulawayo,City,City,Bulawayo, ,"0","0","1200337",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,522634616.033203,124667.118682399,6e60cc24-8022-4719-8cbf-efc62a888a8d,"0","0",
"2","256",ZWE,Zimbabwe,"2",Harare,City,City,Harare, ,"39","0","2123132",0.00183690886859602,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:53:38,surveyor_jr,995733617.75293,155465.824511676,69dd15f7-072e-41a5-9eed-3bde3a201636,"39","0","29"
"3","256",ZWE,Zimbabwe,"3",Manicaland,Province,Province,Manicaland, ,"0","0","1752698",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,40070570701.2256,1463974.98682412,5cec7270-8f10-46a5-baf8-377a3e7f85f4,"0","0",
"4","256",ZWE,Zimbabwe,"4",Mashonaland Central,Province,Province,MashCentral, ,"0","0","1152520",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,31063971789.104,1121171.26475647,782a4901-7812-4e02-8d14-196bd1946259,"0","0",
"5","256",ZWE,Zimbabwe,"5",Mashonaland East,Province,Province,MashEast, ,"0","0","1344955",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,35678182774.4019,1256772.64831908,6f6d7632-28e7-4a4d-9dbe-048c38c29896,"0","0",
"6","256",ZWE,Zimbabwe,"6",Mashonaland West,Province,Province,MashWest, ,"0","0","1501656",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,63246726014.4307,1498792.02237902,6993386c-c489-4717-8d8d-e21886c9537b,"0","0",
"7","256",ZWE,Zimbabwe,"7",Masvingo,Province,Province,Masvingo, ,"0","0","1485090",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,64713299725.8027,1294816.04574608,570923d3-1438-4027-afa9-3044140a3ae9,"0","0",
"8","256",ZWE,Zimbabwe,"8",Matabeleland North,Province,Province,MatNorth, ,"0","0","749017",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,84741155379.5996,1835275.77005975,958cac6d-81af-494b-bb1e-f314234942de,"0","0",
"9","256",ZWE,Zimbabwe,"9",Matabeleland South,Province,Province,MatSouth, ,"0","0","683893",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,63035754864.5679,1785038.63191899,9787e242-ed84-4f78-b864-44150d6b602e,"0","0",
"10","256",ZWE,Zimbabwe,"10",Midlands,Province,Province,Midlands, ,"0","0","1614941",0,2021/02/18 11:25:35,surveyor_jr,2021/02/20 16:52:50,surveyor_jr,55600533958.1377,1701587.15899844,5c5dc8c8-7bff-4a87-b573-c3f2d5f8d334,"0","0",
